Seitennummer;Fachbereich_manuell;Bezeichnung_Dienstleistung_manuell;Produkt_Nr;Produkt_Bez;Bezirk_Nr;Bezirk_Bez_kurz_manuell;Bezirk_Bez_manuell;Bezirk_Bez_lang_manuell;Median_2017;Stückkosten_2017;korr_Mengen_2017;Median_2018;Stückkosten_2018;korr_Mengen_2018;rel_Abw_zum_VJ
Seite 85;Bauen, Wohnen, Vermessen und Verkehr;die Instandhaltung öffentlicher Straßenfläche pro bearbeitetem m²;79062;Unterhalt.oeff.Str-T;38;Nk;Neukölln;Neukölln;34,29;33,85;29.849;34,31;35,20;20.936;3,99
Seite 85;Bauen, Wohnen, Vermessen und Verkehr;die Instandhaltung öffentlicher Straßenfläche pro bearbeitetem m²;79062;Unterhalt.oeff.Str-T;39;TK;Treptow-Köpenick;Treptow-Köpenick;34,29;37,90;93.800;34,31;32,85;88.369;-13,34
Seite 85;Bauen, Wohnen, Vermessen und Verkehr;die Instandhaltung öffentlicher Straßenfläche pro bearbeitetem m²;79062;Unterhalt.oeff.Str-T;40;MH;Marzahn-Hellersd.;Marzahn-Hellersdorf;34,29;37,55;44.809;34,31;36,62;46.521;-2,46
Seite 85;Bauen, Wohnen, Vermessen und Verkehr;die Instandhaltung öffentlicher Straßenfläche pro bearbeitetem m²;79062;Unterhalt.oeff.Str-T;41;Li;Lichtenberg;Lichtenberg;34,29;34,29;41.565;34,31;33,12;54.787;-3,42
Seite 85;Bauen, Wohnen, Vermessen und Verkehr;die Instandhaltung öffentlicher Straßenfläche pro bearbeitetem m²;79062;Unterhalt.oeff.Str-T;42;Rdf;Reinickendorf;Reinickendorf;34,29;36,00;32.863;34,31;36,51;32.603;1,43
Seite 85;Bauen, Wohnen, Vermessen und Verkehr;die Instandhaltung öffentlicher Straßenfläche pro bearbeitetem m²;79062;Unterhalt.oeff.Str-T;0;Mittelwert/Summe;Mittelwert/Summe;Mittelwert/Summe;34,29;34,29;640.138;34,31;34,31;622.498;0,05
Seite 86;Bauen, Wohnen, Vermessen und Verkehr;ein bauaufsichtlicher Bescheid (Baugenehmigung u.ä.);79733;Genehmigungen/extern;31;Mi;Mitte;Mitte;366,85;372,45;5.518;397,84;381,96;5.562;2,55
Seite 86;Bauen, Wohnen, Vermessen und Verkehr;ein bauaufsichtlicher Bescheid (Baugenehmigung u.ä.);79733;Genehmigungen/extern;32;FK;Friedrh.-Kreuzb.;Friedrichshain-Kreuzberg;366,85;344,52;4.432;397,84;387,93;4.429;12,60
Seite 86;Bauen, Wohnen, Vermessen und Verkehr;ein bauaufsichtlicher Bescheid (Baugenehmigung u.ä.);79733;Genehmigungen/extern;33;Pa;Pankow;Pankow;366,85;397,44;3.299;397,84;427,70;3.627;7,61
Seite 86;Bauen, Wohnen, Vermessen und Verkehr;ein bauaufsichtlicher Bescheid (Baugenehmigung u.ä.);79733;Genehmigungen/extern;34;CW;Charlb.-Wilmd.;Charlottenburg-Wilmersdorf;366,85;383,53;4.463;397,84;467,79;3.841;21,97
Seite 86;Bauen, Wohnen, Vermessen und Verkehr;ein bauaufsichtlicher Bescheid (Baugenehmigung u.ä.);79733;Genehmigungen/extern;35;Sp;Spandau;Spandau;366,85;373,80;2.678;397,84;428,86;2.662;14,73
Seite 86;Bauen, Wohnen, Vermessen und Verkehr;ein bauaufsichtlicher Bescheid (Baugenehmigung u.ä.);79733;Genehmigungen/extern;36;SZ;Steglitz-Zehlend.;Steglitz-Zehlendorf;366,85;358,71;3.478;397,84;395,77;3.257;10,33
Seite 86;Bauen, Wohnen, Vermessen und Verkehr;ein bauaufsichtlicher Bescheid (Baugenehmigung u.ä.);79733;Genehmigungen/extern;37;TS;Temph.-Schöneb.;Tempelhof-Schöneberg;366,85;361,24;3.325;397,84;419,33;3.067;16,08
Seite 86;Bauen, Wohnen, Vermessen und Verkehr;ein bauaufsichtlicher Bescheid (Baugenehmigung u.ä.);79733;Genehmigungen/extern;38;Nk;Neukölln;Neukölln;366,85;375,04;1.694;397,84;397,25;1.835;5,92
Seite 86;Bauen, Wohnen, Vermessen und Verkehr;ein bauaufsichtlicher Bescheid (Baugenehmigung u.ä.);79733;Genehmigungen/extern;39;TK;Treptow-Köpenick;Treptow-Köpenick;366,85;391,70;3.452;397,84;352,45;4.089;-10,02
Seite 86;Bauen, Wohnen, Vermessen und Verkehr;ein bauaufsichtlicher Bescheid (Baugenehmigung u.ä.);79733;Genehmigungen/extern;40;MH;Marzahn-Hellersd.;Marzahn-Hellersdorf;366,85;348,80;2.431;397,84;398,43;2.493;14,23
Seite 86;Bauen, Wohnen, Vermessen und Verkehr;ein bauaufsichtlicher Bescheid (Baugenehmigung u.ä.);79733;Genehmigungen/extern;41;Li;Lichtenberg;Lichtenberg;366,85;329,73;1.456;397,84;415,34;1.520;25,96
Seite 86;Bauen, Wohnen, Vermessen und Verkehr;ein bauaufsichtlicher Bescheid (Baugenehmigung u.ä.);79733;Genehmigungen/extern;42;Rdf;Reinickendorf;Reinickendorf;366,85;314,19;2.200;397,84;388,79;2.177;23,74
Seite 86;Bauen, Wohnen, Vermessen und Verkehr;ein bauaufsichtlicher Bescheid (Baugenehmigung u.ä.);79733;Genehmigungen/extern;0;Mittelwert/Summe;Mittelwert/Summe;Mittelwert/Summe;366,85;366,85;38.426;397,84;397,84;38.559;8,45
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
